;Gemeentenaam;month;koopprijs;Relative_difference %
4053;Wageningen;2;293594.8275862069;5.021194431332177
4054;Wageningen;3;276368.4210526316;-5.867408045026679
4055;Wageningen;4;372660.71428571426;34.84200288380443
4056;Wageningen;5;370089.74358974356;-0.6898958214306306
4057;Wageningen;6;312953.488372093;-15.438486531252792
4058;Wageningen;7;302066.6666666667;-3.4787347353298026
4059;Wageningen;8;279403.0303030303;-7.5028590919122955
4060;Wageningen;9;309951.6666666667;10.933537954296524
4061;Wageningen;10;247128.57142857142;-20.268674762655014
4062;Wageningen;11;264173.07692307694;6.897019391961301
4063;Wageningen;12;271147.36842105264;2.640046282992925
4064;Wassenaar;1;658964.2857142857;
4065;Wassenaar;2;655066.6666666666;-0.5914765234043329
4066;Wassenaar;3;943589.2857142857;44.04477188799396
4067;Wassenaar;4;764568.1818181818;-18.972354456164375
4068;Wassenaar;5;847229.7297297297;10.811533866734369
4069;Wassenaar;6;589059.5238095238;-30.472278870875247
4070;Wassenaar;7;870446.4285714285;47.76884056506538
4071;Wassenaar;8;910586.3636363636;4.611419353033885
4072;Wassenaar;9;631148.1481481482;-30.68772240035511
4073;Wassenaar;10;758812.5;20.227319406138133
4074;Wassenaar;11;627040.0;-17.36562062433078
4075;Wassenaar;12;552632.6666666666;-11.866441269031224
4076;Waterland;1;501857.14285714284;
4077;Waterland;2;473423.07692307694;-5.665768902318858
4078;Waterland;3;410728.2727272727;-13.242870331390932
4079;Waterland;4;462555.55555555556;12.618386965217908
4080;Waterland;5;539693.1538461539;16.67639645965373
4081;Waterland;6;545352.9411764706;1.0487046741249006
4082;Waterland;7;441411.76470588235;-19.05943263941323
4083;Waterland;8;615318.1818181818;39.39777573173095
4084;Waterland;9;537111.1111111111;-12.710021094448953
4085;Waterland;10;325375.0;-39.42128671907324
4086;Waterland;11;506000.0;55.51286976565501
4087;Waterland;12;388222.22222222225;-23.27624066754501
4088;Weert;1;228866.66666666666;
4089;Weert;2;288505.737704918;26.058434767660078
4090;Weert;3;287203.0612244898;-0.4515253286784038
4091;Weert;4;287256.41025641025;0.018575370225160093
4092;Weert;5;254896.0;-11.265339641167538
4093;Weert;6;279575.9259259259;9.6823512043837
4094;Weert;7;280631.73076923075;0.37764512084084156
4095;Weert;8;296625.8064516129;5.699311207090263
4096;Weert;9;286505.8823529412;-3.411680264684769
4097;Weert;10;268390.0;-6.323040282511405
4098;Weert;11;281125.8153846154;4.745264497416213
4099;Weert;12;287304.44444444444;2.1978163234052106
4100;Weesp;1;343361.1111111111;
4101;Weesp;2;263666.6666666667;-23.21009627052827
4102;Weesp;3;401916.6666666667;52.43362831858407
4103;Weesp;4;358238.09523809527;-10.867569088593342
4104;Weesp;5;371020.8333333333;3.5682241127209746
4105;Weesp;6;495646.1538461539;33.58984437427923
4106;Weesp;7;329650.0;-33.49085886333303
4107;Weesp;8;343818.73076923075;4.298113383658664
4108;Weesp;9;371375.0;8.014766725802636
4109;Weesp;10;388191.17647058825;4.52808521591066
4110;Weesp;11;424218.75;9.280884191385375
4111;Weesp;12;304307.6923076923;-28.266326675166454
4112;Werkendam;1;265850.0;
4113;Werkendam;2;299421.05263157893;12.627817427714483
4114;Werkendam;3;295053.5714285714;-1.4586419908093284
4115;Werkendam;4;285671.73913043475;-3.179704706746067
4116;Werkendam;5;295626.98412698414;3.4848546891101284
