;global_id;postcode;Gemeentenaam;Buurtnaam;Afstand_tot_huisartsenpraktijk_km
1782;4176183;3816KE;Amersfoort                              ;Verdiweg;3
1789;4136112;5371AL;Oss                                     ;Ravenstein;4
1794;4176859;9715CP;Groningen                               ;Indische buurt;4
1795;4176888;2132KG;Haarlemmermeer                          ;Hoofddorp Oost;4
1798;4137392;2564HR;s Gravenhage                           ;Vruchtenbuurt;4
1801;4137677;3023BA;Rotterdam                               ;Nieuwe Westen;3
1802;4137683;3023BA;Rotterdam                               ;Nieuwe Westen;3
1803;4137690;3023BA;Rotterdam                               ;Nieuwe Westen;3
1804;4137695;3023BA;Rotterdam                               ;Nieuwe Westen;3
1805;4137698;3023BA;Rotterdam                               ;Nieuwe Westen;3
1806;4137714;3023BA;Rotterdam                               ;Nieuwe Westen;3
1807;4137717;3023BA;Rotterdam                               ;Nieuwe Westen;3
1812;4138125;2011VX;Haarlem                                 ;Vijfhoek;3
1818;4137693;3023BA;Rotterdam                               ;Nieuwe Westen;3
1820;4137703;3023BA;Rotterdam                               ;Nieuwe Westen;3
1823;4137719;3023BA;Rotterdam                               ;Nieuwe Westen;3
1827;4138873;2582JH;s Gravenhage                           ;Statenkwartier;4
1828;4177633;2152BM;Haarlemmermeer                          ;Nieuw Vennep Welgelegen;4
1829;4177635;2518XG;s Gravenhage                           ;Zeeheldenkwartier;4
1830;4177690;1964KH;Heemskerk                               ;Villabuurt;4
1835;4177947;6871BN;Renkum                                  ;Renkum Centrum;3
1836;4139360;1081EH;Amsterdam                               ;Buitenveldert Zuidwest;4
1838;4140542;1972NS;Velsen                                  ;Zeeheldenbuurt;3
1839;4139957;1016JA;Amsterdam                               ;Passeerdersgrachtbuurt;3
1840;4178767;2132TB;Haarlemmermeer                          ;Hoofddorp Zuid;4
1847;4179723;5241EE;s Hertogenbosch                        ;Rosmalen Centrum;3
1852;4140164;2161JK;Lisse                                   ;Zeeheldenwijk;4
1855;4141874;3051HC;Rotterdam                               ;Hillegersberg Zuid;3
1857;4204315;1057BH;Amsterdam                               ;Orteliusbuurt Midden;2
1858;4197206;1054VP;Amsterdam                               ;Cremerbuurt West;4
1865;4180703;2312MJ;Leiden                                  ;Havenwijk Noord;4
1866;4137922;3134BX;Vlaardingen                             ;Oostbuurt;3
1868;4142660;9727JW;Groningen                               ;Grunobuurt;4
1874;4143035;5931NX;Venlo                                   ;Tegelen Centrum;3
1881;4180676;3083TC;Rotterdam                               ;Carnisse;3
1897;4181858;3826GR;Amersfoort                              ;Hogesteeg;2
1903;4129416;6709PD;Wageningen                              ;Kortenoord Oost;4
1904;4129419;6709PD;Wageningen                              ;Kortenoord Oost;4
1906;4129631;8606VV;Súdwest Fryslân                         ;Sperkhem en industrieterrein Houkesloot;4
1908;4129414;6709PD;Wageningen                              ;Kortenoord Oost;4
1913;4184442;4283HH;Woudrichem                              ;Giessen;3
1923;4129829;1077TD;Amsterdam                               ;Minervabuurt Midden;3
1932;4190142;3038TV;Rotterdam                               ;Bergpolder;4
1941;4186845;2515AW;s Gravenhage                           ;Rivierenbuurt Noord;4
1957;4188973;1951XV;Velsen                                  ;Duinvlietbuurt;3
1964;4150513;8084BL;Elburg                                  ;t Harde Centrum;3
1966;4151027;7101GN;Winterswijk                             ;Centrale deel;3
1974;4133222;2611ME;Delft                                   ;In de Veste;3
1975;4198022;2523JZ;s Gravenhage                           ;Laakkwartier West;3
1987;4134295;5402ZL;Uden                                    ;Hoevenseveld;4
1990;4134365;1411GD;Gooise Meren                            ;Oranje Nassaupark Noord;4
1992;4191141;4698RS;Tholen                                  ;Oud Vossemeer;4
2002;4200033;3051GK;Rotterdam                               ;Hillegersberg Zuid;3
